"","X","shortnam","avexpr","logem4","lat_abst","euro1900","logpgp95","GDP2018","GovEff"
"94",94,"MEX",7.5,4.26268005371094,0.25555557012558,15.0000009536743,8.94376754760742,20396.4777131565,47.59615
"95",95,"MKD",NA,NA,0.461111098527908,100,8.06148719787598,16624.8580151891,55.76923
"96",96,"MLI",4,7.98616504669189,0.188888892531395,0,6.56526517868042,2344.29443201713,15.38461
"97",97,"MLT",7.22727251052856,2.7911651134491,0.394444435834885,NA,9.42706298828125,43538.5099282286,78.84615
"98",98,"MMR",5.77272748947144,3.54385352134705,0.244444444775581,0,NA,4995.98897661173,12.5
"99",99,"MNG",7.36363649368286,NA,0.51111114025116,0,7.29979753494263,12203.4718504451,45.67308
"100",100,"MOZ",6.5,NA,0.201666668057442,2.5,6.46146821975708,1320.95563186038,17.78846
"101",101,"MRT",NA,5.63478946685791,0.222222223877907,0,7.41457271575928,3802.87323215917,22.59615
"102",102,"MUS",NA,3.41772675514221,0.224111109972,5,9.05368614196777,22752.2179300197,77.40385
"103",103,"MWI",6.81818199157715,NA,0.147777780890465,2.70000004768372,6.46146821975708,1071.33762099385,22.11539
"104",104,"MYS",7.95454549789429,2.87356472015381,0.0255555547773838,0,8.89425849914551,28207.7042310851,81.25
"105",105,"NAM",NA,NA,0.244444444775581,0,8.51519107818604,10704.6651958998,56.25
"106",106,"NER",5,5.99146461486816,0.177777782082558,0,6.73340177536011,888.778755887782,20.19231
"107",107,"NGA",5.54545450210571,7.60290050506592,0.111111111938953,0,6.8134446144104,5281.40142119156,14.90385
"108",108,"NIC",5.22727251052856,5.09558916091919,0.144444450736046,20,7.5443320274353,5833.60013738122,19.23077
"109",109,"NLD",10,NA,0.581111073493958,100,9.89696598052979,57565.197555795,96.63461
"110",110,"NOR",9.95454502105713,NA,0.688888907432556,100,10.0239334106445,67640.1813801458,97.59615
"111",111,"NPL",NA,NA,0.311111122369766,0,6.9373140335083,3330.62132571394,16.82692
"112",112,"NZL",9.72727298736572,2.14593124389648,0.455555558204651,93,9.75614738464355,42193.8180302676,93.75
"113",113,"OMN",7.13636350631714,NA,0.233333334326744,0,9.20833873748779,29289.7001952676,60.09615
"114",114,"PAK",6.04545450210571,3.61064767837524,0.333333343267441,0,7.35244131088257,4854.94393108132,26.92308
"115",115,"PAN",5.90909099578857,5.09558916091919,0.100000001490116,20,8.83637428283691,31834.0143386004,51.92308
"116",116,"PER",5.77272748947144,4.26268005371094,0.111111111938953,30.0000019073486,8.39615440368652,13093.748703832,44.23077
"117",117,"PHL",5.45454549789429,NA,0.144444450736046,1,8.09864330291748,8321.21626139508,55.28846
"118",118,"PNG",7.27272748947144,5.13579845428467,0.0666666701436043,0,NA,4336.24465709434,24.03846
"119",119,"POL",7.68181800842285,NA,0.577777802944183,100,8.65521430969238,31755.7718867144,75
"120",120,"PRK",NA,NA,0.444444447755814,0,NA,NA,5.288462
"121",121,"PRT",9.18181800842285,NA,0.436666667461395,100,9.48948574066162,34272.0362082602,86.53846
"122",122,"PRY",6.95454549789429,4.35799026489258,0.25555557012558,25,8.20794677734375,13204.3087520227,34.13462
"123",123,"QAT",7.72727251052856,NA,0.281111091375351,0,9.68533134460449,96804.7296884737,74.51923
"124",124,"ROM",7.27272748947144,NA,0.51111114025116,100,8.3870849609375,NA,NA
"125",125,"RUS",8.45454502105713,NA,0.666666686534882,100,8.40514373779297,28556.2545049113,50.96154
"126",126,"RWA",NA,5.63478946685791,0.0222222227603197,0,6.47697257995605,2114.08526666936,62.01923
"127",127,"SAU",7.59090900421143,NA,0.277777791023254,0,9.23989963531494,48756.1606823044,64.90385
"128",128,"SDN",4,4.47960710525513,0.16666667163372,0,7.30653142929077,4767.68982660282,4.326923
"129",129,"SEN",6,5.10388278961182,0.155555561184883,0,7.40245151519775,3430.16285940513,42.30769
"130",130,"SGP",9.31818199157715,2.87356472015381,0.0135555556043983,4,10.1464338302612,98827.3526023806,100
"131",131,"SLE",5.81818199157715,6.18001651763916,0.0922222211956978,0,6.25382900238037,1703.80937442017,11.53846
"132",132,"SLV",5,4.35799026489258,0.150000005960464,20,7.94803190231323,8816.64304630321,36.53846
"133",133,"SOM",3,NA,0.111111111938953,0,NA,NA,0.9615384
"134",134,"STP",8.40909099578857,NA,0.0111111113801599,100,NA,4040.86048112083,26.44231
"135",135,"SUR",4.68181800842285,3.47134518623352,0.0444444455206394,1,8.01000022888184,16151.1735106449,25.48077
"136",136,"SVK",NA,NA,0.537777781486511,100,8.85223579406738,32616.6492230856,75.48077
"137",137,"SVN",NA,NA,0.51111114025116,NA,9.30018138885498,38749.2519820723,83.17308
"138",138,"SWE",9.5,NA,0.688888907432556,100,9.86630439758301,53807.8671589301,96.15385
"139",139,"SWZ",NA,NA,0.292222201824188,0,8.10772037506104,8815.71575242529,25
"140",140,"SYR",5.81818199157715,NA,0.388888895511627,0,8.02943325042725,NA,3.365385
"141",141,"TCD",NA,5.63478946685791,0.16666667163372,0,6.8351845741272,1618.93294012893,6.730769
